,brand,model,price,year,transmission,fuelConsumption,tax,mileage,fueltype,color,variant
43,Ford, Fiesta,"£12,349",2018,Other,55.4 mpg,Tax: £180,"Mileage: 30,478",Petrol,beige,VIGNALE 1.0 EcoBoost 140 5dr
44,Ford, EcoSport,"£10,250",2018,Manual,54.3 mpg,Tax: £150,"Mileage: 56,297",Petrol,beige,1.0 EcoBoost 125 Titanium 5dr
45,Ford, EcoSport,"£11,199",2018,Manual,68.9 mpg,Tax: £180,"Mileage: 49,343",Diesel,beige,1.5 TDCi Titanium 5dr
46,Ford, EcoSport,"£10,750",2018,Manual,54.3 mpg,Tax: £180,"Mileage: 37,548",Petrol,beige,1.0 EcoBoost 125 Titanium 5dr
47,Ford, EcoSport,"£12,595",2018,Manual,54.3 mpg,Tax: £180,"Mileage: 8,218",Petrol,beige,1.0T EcoBoost Titanium SUV 5dr Petrol Manual Euro 6 (s/s) (125 ps)
48,Ford, Fiesta,"£13,975",2018,Automatic,49.6 mpg,Tax: n/a,"Mileage: 25,149",Petrol,beige,Vignale 1.0 EcoBoost 3dr Auto CHECKOUT OUR WEBSITE 30+ CARS!
49,Ford, EcoSport,"£13,495",2019,Semi-Auto,45.6 mpg,Tax: £180,"Mileage: 16,500",Petrol,beige,1.0 EcoBoost 125 Zetec 5dr Auto
50,Ford, EcoSport,"£14,995",2019,Semi-Auto,45.6 mpg,Tax: £180,"Mileage: 7,710",Petrol,beige,1.0 EcoBoost 125 Titanium 5dr Auto
51,Ford, Fiesta,"£11,722",2019,Manual,60.1 mpg,Tax: £180,"Mileage: 48,201",Petrol,beige,a Vignale 1.0 EcoBoost 5dr
52,Ford, EcoSport,"£13,495",2019,Manual,67.3 mpg,Tax: £180,"Mileage: 25,476",Diesel,beige,1.5 TDCi Titanium 5dr
224,Ford, Fiesta,"£14,049",2020,Other,54.3 mpg,Tax: £180,"Mileage: 2,060",Petrol,black,1.0 EcoBoost 95 ST-Line Edition 5dr
225,Ford, Fiesta,"£15,249",2021,Other,54.3 mpg,Tax: £170,"Mileage: 9,370",Petrol,black,1.0 EcoBoost Hybrid mHEV 125 ST-Line X Edition 5dr
226,Ford, Fiesta,"£14,249",2021,Other,52.3 mpg,Tax: £180,"Mileage: 9,882",Petrol,black,1.0 EcoBoost 100 ST-Line Edition 5dr
227,Ford, Fiesta,"£14,549",2021,Other,52.3 mpg,Tax: £180,"Mileage: 14,872",Petrol,black,1.0 EcoBoost 100 ST-Line Edition 5dr
228,Ford, Fiesta,"£12,299",2020,Other,55.4 mpg,Tax: £180,"Mileage: 16,101",Petrol,black,1.0 EcoBoost 95 Trend Navigation 5dr
229,Ford, Fiesta,"£11,349",2019,Other,58.9 mpg,Tax: £180,"Mileage: 17,361",Petrol,black,1.0 EcoBoost Zetec 5dr
230,Ford, Ka+,"£8,799",2017,Other,57.7 mpg,Tax: £180,"Mileage: 17,716",Petrol,black,1.2 85 Zetec 5dr
231,Ford, Fiesta,"£13,599",2021,Other,53.3 mpg,Tax: £180,"Mileage: 18,294",Petrol,black,1.0 EcoBoost 95 Active Edition 5dr
232,Ford, Fiesta,"£14,049",2021,Other,52.3 mpg,Tax: £180,"Mileage: 18,693",Petrol,black,1.0 EcoBoost 100 ST-Line Edition 5dr
319,Ford, EcoSport,"£13,349",2019,Other,51.4 mpg,Tax: £180,"Mileage: 18,709",Petrol,black,1.0 EcoBoost 125 ST-Line 5dr
320,Ford, Fiesta,"£8,749",2017,Other,65.7 mpg,Tax: £180,"Mileage: 19,029",Petrol,black,1.0 EcoBoost Zetec 3dr
321,Ford, Focus,"£15,299",2020,Other,58.9 mpg,Tax: £180,"Mileage: 19,241",Petrol,black,1.0 EcoBoost 125 Titanium X 5dr
322,Ford, Ka+,"£9,899",2019,Other,47.9 mpg,Tax: £180,"Mileage: 19,245",Petrol,black,1.2 85 Zetec 5dr
323,Ford, Focus,"£14,599",2019,Other,60.1 mpg,Tax: £180,"Mileage: 19,394",Petrol,black,1.0 EcoBoost 125 ST-Line Nav 5dr
324,Ford, Puma,"£16,199",2020,Other,48.7 mpg,Tax: £180,"Mileage: 19,735",Petrol,black,1.0 EcoBoost ST-Line 5dr
325,Ford, Fiesta,"£11,499",2018,Other,58.9 mpg,Tax: £180,"Mileage: 20,170",Diesel,black,1.5 TDCi 120 Titanium 5dr
326,Ford, Focus,"£14,399",2019,Other,60.1 mpg,Tax: £180,"Mileage: 20,562",Petrol,black,1.0 EcoBoost 125 ST-Line Nav 5dr
327,Ford, Fiesta,"£13,949",2021,Other,54.3 mpg,Tax: £170,"Mileage: 20,730",Petrol,black,1.0 EcoBoost Hybrid mHEV 125 ST-Line X Edition 5dr
328,Ford, Fiesta,"£13,349",2020,Other,54.3 mpg,Tax: £180,"Mileage: 20,924",Petrol,black,1.0 EcoBoost 125 ST-Line Edition 5dr
418,Ford, Focus,"£14,149",2019,Other,60.1 mpg,Tax: £180,"Mileage: 21,066",Petrol,black,1.0 EcoBoost 125 ST-Line Nav 5dr
419,Ford, Kuga,"£14,749",2019,Other,34.4 mpg,Tax: £180,"Mileage: 22,535",Petrol,black,1.5 EcoBoost Titanium Edition 5dr 2WD
420,Ford, Focus,"£15,899",2019,Other,74.3 mpg,Tax: £180,"Mileage: 22,723",Diesel,black,1.5 EcoBlue 120 ST-Line X 5dr
421,Ford, Kuga,"£16,799",2019,Other,35.3 mpg,Tax: £180,"Mileage: 24,488",Petrol,black,1.5 EcoBoost ST-Line Edition 5dr 2WD
422,Ford, EcoSport,"£14,249",2021,Other,47.1 mpg,Tax: £180,"Mileage: 25,061",Petrol,black,1.0 EcoBoost 125 ST-Line 5dr
423,Ford, Fiesta,"£12,499",2020,Other,54.3 mpg,Tax: £180,"Mileage: 26,172",Petrol,black,1.0 EcoBoost 95 ST-Line Edition 5dr
424,Ford, Fiesta,"£11,499",2020,Other,55.4 mpg,Tax: £180,"Mileage: 26,179",Petrol,black,1.0 EcoBoost 95 Trend 5dr
425,Ford, Fiesta,"£11,549",2019,Other,56.5 mpg,Tax: £180,"Mileage: 26,520",Petrol,black,1.0 EcoBoost Titanium 5dr
426,Ford, Kuga,"£15,699",2019,Other,39.2 mpg,Tax: £180,"Mileage: 26,619",Petrol,black,1.5 EcoBoost ST-Line 5dr 2WD
427,Ford, Focus,"£13,549",2018,Other,67.3 mpg,Tax: £180,"Mileage: 27,256",Diesel,black,1.5 EcoBlue 120 Zetec Nav 5dr Auto
515,Ford, Mondeo,"£16,649",2020,Other,65.7 mpg,Tax: £180,"Mileage: 28,039",Diesel,black,2.0 TDCi Titanium Edition 5dr
516,Ford, Kuga,"£15,649",2019,Other,39.2 mpg,Tax: £180,"Mileage: 28,152",Petrol,black,1.5 EcoBoost ST-Line 5dr 2WD
517,Ford, Focus,"£13,999",2020,Other,58.9 mpg,Tax: £180,"Mileage: 30,200",Petrol,black,1.0 EcoBoost 125 Titanium X 5dr
518,Ford, Focus,"£13,799",2019,Other,67.3 mpg,Tax: £180,"Mileage: 30,830",Diesel,black,1.5 EcoBlue 120 Zetec 5dr Auto
519,Ford, Mondeo,"£14,299",2019,Other,53.3 mpg,Tax: £180,"Mileage: 31,458",Diesel,black,2.0 EcoBlue Zetec Edition 5dr
520,Ford, Kuga,"£14,949",2019,Other,38.2 mpg,Tax: £180,"Mileage: 32,527",Diesel,black,2.0 TDCi Titanium Edition 5dr 2WD
521,Ford, Fiesta,"£10,499",2019,Other,55.4 mpg,Tax: £180,"Mileage: 34,611",Petrol,black,1.1 Zetec 5dr
522,Ford, Kuga,"£13,049",2019,Other,39.2 mpg,Tax: £180,"Mileage: 35,592",Petrol,black,1.5 EcoBoost Zetec [Nav] 5dr 2WD
523,Ford, Ka+,"£8,049",2017,Other,57.7 mpg,Tax: £180,"Mileage: 35,992",Petrol,black,1.2 85 Zetec 5dr
524,Ford, Edge,"£19,749",2017,Other,47.9 mpg,Tax: £180,"Mileage: 36,452",Diesel,black,2.0 TDCi 210 Sport 5dr Powershift
614,Ford, Kuga,"£14,199",2017,Other,45.6 mpg,Tax: £180,"Mileage: 42,703",Petrol,black,1.5 EcoBoost ST-Line X 5dr 2WD
615,Ford, Focus,"£10,949",2018,Other,74.3 mpg,Tax: £180,"Mileage: 43,304",Diesel,black,1.5 TDCi 120 Zetec Edition 5dr
616,Ford, Kuga,"£13,999",2019,Other,54.3 mpg,Tax: £180,"Mileage: 43,705",Diesel,black,1.5 TDCi ST-Line 5dr 2WD
617,Ford, Puma,"£14,649",2020,Other,48.7 mpg,Tax: £180,"Mileage: 43,745",Petrol,black,1.0 EcoBoost ST-Line 5dr
618,Ford, EcoSport,"£11,799",2019,Other,51.4 mpg,Tax: £180,"Mileage: 43,806",Petrol,black,1.0 EcoBoost 125 ST-Line 5dr
619,Ford, Focus,"£11,899",2019,Other,80.7 mpg,Tax: £180,"Mileage: 44,615",Diesel,black,1.5 EcoBlue 120 Zetec 5dr
620,Ford, Mondeo,"£13,599",2019,Other,53.3 mpg,Tax: £180,"Mileage: 45,112",Diesel,black,2.0 EcoBlue Zetec Edition 5dr
621,Ford, Kuga,"£13,849",2018,Other,60.1 mpg,Tax: £180,"Mileage: 49,271",Diesel,black,2.0 TDCi ST-Line 5dr 2WD
622,Ford, Kuga,"£14,299",2019,Other,47.9 mpg,Tax: £180,"Mileage: 49,836",Diesel,black,2.0 TDCi ST-Line 5dr 2WD
623,Ford, Mondeo,"£15,299",2020,Other,49.6 mpg,Tax: £180,"Mileage: 51,327",Diesel,black,2.0 EcoBlue Zetec Edition 5dr Powershift
709,Ford, Focus,"£10,699",2017,Other,50.4 mpg,Tax: £180,"Mileage: 52,245",Petrol,black,1.5 EcoBoost ST-Line 5dr
710,Ford, Kuga,"£13,449",2019,Other,39.2 mpg,Tax: £180,"Mileage: 54,500",Petrol,black,1.5 EcoBoost ST-Line 5dr 2WD
711,Ford, EcoSport,"£9,999",2018,Other,54.3 mpg,Tax: £180,"Mileage: 55,934",Petrol,black,1.0 EcoBoost 125 ST-Line 5dr
712,Ford, Focus,"£10,249",2017,Other,74.3 mpg,Tax: £180,"Mileage: 61,076",Diesel,black,1.5 TDCi 120 ST-Line 5dr
713,Ford, Mondeo,"£13,899",2020,Other,51.4 mpg,Tax: £180,"Mileage: 64,786",Diesel,black,2.0 EcoBlue Titanium Edition 5dr
714,Ford, Focus,"£11,449",2020,Other,80.7 mpg,Tax: £180,"Mileage: 66,906",Diesel,black,1.5 EcoBlue 120 Zetec 5dr
715,Ford, Mondeo,"£11,999",2017,Other,58.9 mpg,Tax: £180,"Mileage: 68,191",Diesel,black,2.0 TDCi 180 ST-Line 5dr Powershift
716,Ford, Fiesta,"£14,049",2021,Other,52.3 mpg,Tax: £180,"Mileage: 18,693",Petrol,black,1.0 EcoBoost 100 ST-Line Edition 5dr
717,Ford, EcoSport,"£13,349",2019,Other,51.4 mpg,Tax: £180,"Mileage: 18,709",Petrol,black,1.0 EcoBoost 125 ST-Line 5dr
718,Ford, Ka+,"£9,899",2019,Other,47.9 mpg,Tax: £180,"Mileage: 19,245",Petrol,black,1.2 85 Zetec 5dr
803,Ford, Kuga,"£15,049",2019,Other,47.9 mpg,Tax: £180,"Mileage: 49,476",Diesel,black,2.0 TDCi ST-Line 5dr 2WD
804,Ford, Kuga,"£14,299",2019,Other,47.9 mpg,Tax: £180,"Mileage: 49,836",Diesel,black,2.0 TDCi ST-Line 5dr 2WD
805,Ford, Mondeo,"£15,299",2020,Other,49.6 mpg,Tax: £180,"Mileage: 51,327",Diesel,black,2.0 EcoBlue Zetec Edition 5dr Powershift
806,Ford, Focus,"£10,699",2017,Other,50.4 mpg,Tax: £180,"Mileage: 52,245",Petrol,black,1.5 EcoBoost ST-Line 5dr
807,Ford, Kuga,"£13,449",2019,Other,39.2 mpg,Tax: £180,"Mileage: 54,500",Petrol,black,1.5 EcoBoost ST-Line 5dr 2WD
808,Ford, Focus,"£9,049",2017,Other,74.3 mpg,Tax: £180,"Mileage: 54,558",Diesel,black,1.5 TDCi 120 Zetec Edition 5dr
809,Ford, EcoSport,"£9,999",2018,Other,54.3 mpg,Tax: £180,"Mileage: 55,934",Petrol,black,1.0 EcoBoost 125 ST-Line 5dr
810,Ford, Focus,"£9,599",2017,Other,74.3 mpg,Tax: £180,"Mileage: 59,131",Diesel,black,1.5 TDCi 120 Titanium 5dr
811,Ford, Focus,"£11,249",2020,Other,78.5 mpg,Tax: £180,"Mileage: 59,815",Diesel,black,1.5 EcoBlue 95 Zetec 5dr
812,Ford, Focus,"£10,249",2017,Other,74.3 mpg,Tax: £180,"Mileage: 61,076",Diesel,black,1.5 TDCi 120 ST-Line 5dr
898,Ford, Focus,"£14,149",2019,Other,60.1 mpg,Tax: £180,"Mileage: 21,066",Petrol,black,1.0 EcoBoost 125 ST-Line Nav 5dr
899,Ford, Focus,"£13,999",2020,Other,58.9 mpg,Tax: £180,"Mileage: 30,200",Petrol,black,1.0 EcoBoost 125 Titanium X 5dr
900,Ford, C-MAX,"£8,849",2017,Other,55.4 mpg,Tax: £35,"Mileage: 44,913",Petrol,black,1.0 EcoBoost 125 Zetec 5dr
901,Ford, Focus,"£11,249",2020,Other,78.5 mpg,Tax: £180,"Mileage: 59,815",Diesel,black,1.5 EcoBlue 95 Zetec 5dr
902,Ford, Kuga,"£12,999",2019,Other,39.2 mpg,Tax: £180,"Mileage: 63,628",Petrol,black,1.5 EcoBoost ST-Line 5dr 2WD
903,Ford, Edge,"£14,249",2017,Other,48.7 mpg,Tax: £180,"Mileage: 57,569",Diesel,black,2.0 TDCi 180 Titanium 5dr
904,Ford, Fiesta,"£13,199",2020,Other,58.9 mpg,Tax: £170,"Mileage: 18,686",Petrol,black,1.0 EcoBoost Hybrid mHEV 125 Active Edition 5dr
905,Ford, Kuga,"£21,590",2021,Automatic,201.8 mpg,Tax: £170,"Mileage: 57,000",Hybrid,black,a 2.5 PHEV ST-Line X 5dr CVT
906,Ford, Fiesta,"£22,139",2023,Manual,54.3 mpg,Tax: £170,"Mileage: 5,099",Hybrid,black,a 1.0 EcoBoost Hybrid mHEV 125 ST-Line X Edition 5dr
907,Ford, Fiesta,"£12,774",2021,Manual,55.4 mpg,Tax: £180,"Mileage: 5,603",Petrol,black,a 1.0 EcoBoost 95 Trend 5dr
994,Ford, Fiesta,"£15,284",2022,Manual,55.4 mpg,Tax: £170,"Mileage: 6,826",Petrol,black,a 1.0 EcoBoost Hybrid mHEV 125 ST-Line 5dr
995,Ford, Kuga,"£20,550",2021,Manual,57.7 mpg,Tax: £180,"Mileage: 10,100",Diesel,black,a 1.5 EcoBlue ST-Line Edition 5dr
996,Ford, Focus,"£15,550",2021,Manual,55.4 mpg,Tax: £170,"Mileage: 10,490",Petrol,black,s 1.0 EcoBoost Hybrid mHEV 125 Titanium Edition 5dr
997,Ford, Fiesta,"£13,990",2021,Manual,57.7 mpg,Tax: £170,"Mileage: 11,796",Petrol,black,a 1.0 EcoBoost Hybrid mHEV 125 ST-Line Edition 5dr
998,Ford, Focus,"£15,456",2021,Manual,55.4 mpg,Tax: £170,"Mileage: 13,069",Petrol,black,s 1.0 EcoBoost Hybrid mHEV 125 Titanium Edition 5dr
999,Ford, Kuga,"£21,875",2020,Manual,54.3 mpg,Tax: £170,"Mileage: 16,282",Diesel,black,a 2.0 EcoBlue mHEV ST-Line X 5dr
1000,Ford, Kuga,"£25,800",2021,Automatic,201.8 mpg,Tax: £170,"Mileage: 19,664",Hybrid,black,a 2.5 PHEV Vignale 5dr CVT
1001,Ford, Puma,"£14,550",2020,Manual,48.7 mpg,Tax: £180,"Mileage: 20,743",Petrol,black,a 1.0 EcoBoost Titanium 5dr
1002,Ford, Puma,"£14,754",2020,Manual,48.7 mpg,Tax: £180,"Mileage: 23,260",Petrol,black,a 1.0 EcoBoost Titanium 5dr
1003,Ford, Focus,"£16,300",2020,Automatic,54.3 mpg,Tax: £180,"Mileage: 16,705",Diesel,black,"1.5 EcoBlue Active X Hatchback 5dr Diesel Auto Euro 6 (s/s) (120 ps) Panoramic Roof,Part Leather"
1084,Ford, Kuga,"£16,200",2019,Manual,39.2 mpg,Tax: £180,"Mileage: 11,955",Petrol,black,"1.5T EcoBoost GPF ST-Line SUV 5dr Petrol Manual Euro 6 (s/s) (150 ps) Appearance Pack,ST Style Pack"
1085,Ford, Focus,"£16,300",2020,Automatic,54.3 mpg,Tax: £180,"Mileage: 16,705",Diesel,black,"1.5 EcoBlue Active X Hatchback 5dr Diesel Auto Euro 6 (s/s) (120 ps) Panoramic Roof,Part Leather"
1086,Ford, Kuga,"£19,200",2021,Manual,41.5 mpg,Tax: £180,"Mileage: 25,549",Petrol,black,"1.5T EcoBoost Titanium Edition SUV 5dr Petrol Manual Euro 6 (s/s) (150 ps) Part Leather,Android Auto"
1087,Ford, Kuga,"£18,200",2018,Automatic,42.2 mpg,Tax: £180,"Mileage: 25,984",Diesel,black,"2.0 TDCi ST-Line X SUV 5dr Diesel Powershift AWD Euro 6 (s/s) (180 ps) ST Style Pack,All Wheel Drive"
1088,Ford, Kuga,"£12,800",2017,Manual,60.1 mpg,Tax: £150,"Mileage: 44,212",Diesel,black,"2.0 TDCi EcoBlue ST-Line SUV 5dr Diesel Manual Euro 6 (s/s) (150 ps) Appearance Pack,Part Leather"
1089,Ford, Focus,"£11,700",2019,Manual,58.9 mpg,Tax: £180,"Mileage: 45,523",Petrol,black,"1.0T EcoBoost Titanium Hatchback 5dr Petrol Manual Euro 6 (s/s) (125 ps) Android Auto,Apple CarPlay"
1090,Ford, Focus,"£11,600",2019,Manual,58.9 mpg,Tax: £180,"Mileage: 45,673",Petrol,black,"1.0T EcoBoost Titanium Hatchback 5dr Petrol Manual Euro 6 (s/s) (125 ps) Android Auto,Apple CarPlay"
1091,Ford, Kuga,"£14,400",2018,Automatic,31.0 mpg,Tax: £180,"Mileage: 51,140",Petrol,black,"1.5T EcoBoost ST-Line SUV 5dr Petrol Auto AWD Euro 6 (s/s) (176 ps) Appearance Pack,ST Style Pack"
1092,Ford, Kuga,"£10,400",2018,Manual,64.2 mpg,Tax: £180,"Mileage: 79,541",Diesel,black,"1.5 TDCi Titanium SUV 5dr Diesel Manual Euro 6 (s/s) (120 ps) Appearance Pack,Part Leather"
1093,Ford, Mondeo,"£9,300",2019,Manual,49.6 mpg,Tax: £180,"Mileage: 92,086",Diesel,black,"2.0 TDCi Zetec Edition Estate 5dr Diesel Manual Euro 6 (s/s) (150 ps) Android Auto,Apple CarPlay"
1178,Ford, EcoSport,"£14,600",2019,Automatic,45.6 mpg,Tax: £180,"Mileage: 11,372",Petrol,black,"1.0T EcoBoost GPF Titanium SUV 5dr Petrol Auto Euro 6 (s/s) (125 ps) Part Leather,Sat Nav"
1179,Ford, EcoSport,"£14,100",2019,Automatic,45.6 mpg,Tax: £180,"Mileage: 13,615",Petrol,black,"1.0T EcoBoost GPF Titanium SUV 5dr Petrol Auto Euro 6 (s/s) (125 ps) Part Leather,Android Auto"
1180,Ford, Focus,"£12,800",2020,Manual,58.9 mpg,Tax: £180,"Mileage: 44,202",Petrol,black,"1.0T EcoBoost Titanium X Hatchback 5dr Petrol Manual Euro 6 (s/s) (125 ps) Part Leather,Android Auto"
1181,Ford, Focus,"£11,300",2020,Manual,58.9 mpg,Tax: £180,"Mileage: 58,162",Petrol,black,"1.0T EcoBoost Titanium Hatchback 5dr Petrol Manual Euro 6 (s/s) (125 ps) Android Auto,Apple CarPlay"
1182,Ford, Puma,"£18,200",2022,Manual,50.4 mpg,Tax: £170,"Mileage: 15,386",Hybrid,black,"1.0T EcoBoost MHEV ST-Line SUV 5dr Petrol Hybrid Manual Euro 6 (s/s) (155 ps) Sat Nav,Ford SYNC"
1183,Ford, Focus,"£13,800",2019,Manual,60.1 mpg,Tax: £180,"Mileage: 26,443",Petrol,black,"1.0T EcoBoost ST-Line Hatchback 5dr Petrol Manual Euro 6 (s/s) (125 ps) 17'' Alloy Wheels,Sat Nav"
1184,Ford, Mondeo,"£16,600",2020,Manual,51.4 mpg,Tax: £180,"Mileage: 41,428",Diesel,black,"2.0 EcoBlue Titanium Edition Hatchback 5dr Diesel Manual Euro 6 (s/s) (150 ps) Full Leather,Android"
1185,Ford, Kuga,"£16,900",2019,Automatic,38.7 mpg,Tax: £180,"Mileage: 45,662",Diesel,black,2.0 TDCi EcoBlue ST-Line Edition SUV 5dr Diesel Powershift AWD Euro 6 (s/s) (180 ps) Appearance
1186,Ford, Kuga,"£12,600",2019,Manual,38.2 mpg,Tax: £180,"Mileage: 47,776",Diesel,black,"2.0 TDCi EcoBlue Titanium Edition SUV 5dr Diesel Manual Euro 6 (s/s) (150 ps) Appearance Pack,Part"
1187,Ford, Fiesta,"£12,498",2020,Manual,58.9 mpg,Tax: £180,"Mileage: 4,500",Petrol,black,a 1.0 EcoBoost 125 Active 1 5dr
1274,Ford, Puma,"£23,802",2022,Semi-Auto,48.7 mpg,Tax: £170,"Mileage: 7,400",Petrol,black,a 1.0 EcoBoost Hybr mHEV 155 ST-Line Vignale 5dr DCT
1275,Ford, Fiesta,"£15,274",2022,Manual,52.3 mpg,Tax: £180,"Mileage: 9,802",Petrol,black,a 1.0 EcoBoost ST-Line 5dr
1276,Ford, Kuga,"£20,435",2021,Manual,56.5 mpg,Tax: £155,"Mileage: 14,285",Diesel,black,a 2.0 EcoBlue mHEV ST-Line Edition 5dr
1277,Ford, Fiesta,"£11,839",2018,Manual,58.9 mpg,Tax: £180,"Mileage: 21,364",Petrol,black,a 1.0 EcoBoost 125 Active X 5dr
1278,Ford, Kuga,"£24,845",2021,Automatic,201.8 mpg,Tax: £170,"Mileage: 26,950",Hybrid,black,a 2.5 PHEV ST-Line X Edition 5dr CVT
1279,Ford, EcoSport,"£13,795",2020,Manual,52.3 mpg,Tax: £180,"Mileage: 5,042",Petrol,black,T EcoBoost ST-Line
1280,Ford, Kuga,"£18,995",2021,Manual,57.7 mpg,Tax: £180,"Mileage: 33,843",Diesel,black,a 1.5 EcoBlue ST-Line Edition 5dr
1281,Ford, B-MAX,"£13,495",2017,Automatic,44.1 mpg,Tax: £180,"Mileage: 3,500",Petrol,black,TITANIUM NAVIGATOR
1282,Ford, Puma,"£19,729",2021,Manual,51.4 mpg,Tax: £155,"Mileage: 6,063",Petrol,black,a 1.0 EcoBoost Hybrid mHEV ST-Line 5dr
1283,Ford, Puma,"£23,830",2022,Semi-Auto,48.7 mpg,Tax: £170,"Mileage: 6,568",Petrol,black,a 1.0 EcoBoost Hybr mHEV 155 ST-Line Vignale 5dr DCT
1367,Ford, Puma,"£18,488",2021,Manual,49.6 mpg,Tax: £170,"Mileage: 7,312",Petrol,black,a 1.0 EcoBoost Hybrid mHEV 155 ST-Line X 5dr
1368,Ford, Fiesta,"£12,495",2020,Manual,58.9 mpg,Tax: £180,"Mileage: 7,361",Petrol,black,a 1.0 EcoBoost 125 Titanium 5dr
1369,Ford, Kuga,"£24,150",2022,Manual,41.5 mpg,Tax: £180,"Mileage: 8,433",Petrol,black,a 1.5 EcoBoost 150 Vignale 5dr
1370,Ford, Fiesta,"£15,100",2022,Manual,52.3 mpg,Tax: £180,"Mileage: 8,850",Petrol,black,a 1.0 EcoBoost ST-Line 5dr
1371,Ford, Fiesta,"£17,950",2022,Manual,40.3 mpg,Tax: £180,"Mileage: 12,575",Petrol,black,a 1.5 EcoBoost ST-2 3dr
1372,Ford, Kuga,"£19,889",2020,Manual,55.4 mpg,Tax: £170,"Mileage: 15,514",Diesel,black,a 2.0 EcoBlue mHEV ST-Line First Edition 5dr
1373,Ford, Kuga,"£18,000",2020,Manual,54.3 mpg,Tax: £180,"Mileage: 15,828",Diesel,black,a 1.5 EcoBlue Titanium First Edition 5dr
1374,Ford, Fiesta,"£12,761",2020,Manual,54.3 mpg,Tax: £180,"Mileage: 18,594",Petrol,black,a 1.0 EcoBoost 95 ST-Line Edition 5dr
1375,Ford, Focus,"£15,100",2021,Manual,54.3 mpg,Tax: £170,"Mileage: 20,557",Petrol,black,s 1.0 EcoBoost Hybrid mHEV 125 ST-Line Edition 5dr
1376,Ford, EcoSport,"£12,266",2020,Manual,53.3 mpg,Tax: £180,"Mileage: 27,500",Petrol,black,1.0 EcoBoost 125 Titanium 5dr
1463,Ford, Kuga,"£15,722",2017,Manual,60.1 mpg,Tax: £150,"Mileage: 32,055",Diesel,black,a Vignale 2.0 TDCi 5dr 2WD
1464,Ford, Kuga,"£21,348",2021,Manual,55.4 mpg,Tax: £170,"Mileage: 34,057",Diesel,black,a 2.0 EcoBlue mHEV ST-Line X Edition 5dr
1465,Ford, Puma,"£15,352",2021,Manual,51.4 mpg,Tax: £170,"Mileage: 37,798",Petrol,black,a 1.0 EcoBoost Hybrid mHEV ST-Line 5dr
1466,Ford, Kuga,"£12,650",2018,Manual,64.2 mpg,Tax: £180,"Mileage: 40,379",Diesel,black,a 1.5 TDCi Titanium 5dr 2WD
1467,Ford, Fiesta,"£11,384",2018,Semi-Auto,48.7 mpg,Tax: £180,"Mileage: 34,971",Petrol,black,a 1.0 EcoBoost Active 1 5dr Auto
1468,Ford, Focus,"£14,500",2020,Automatic,46.3 mpg,Tax: £180,"Mileage: 46,260",Petrol,black,s 1.5 EcoBoost 150 ST-Line 5dr Auto
1469,Ford, EcoSport,"£14,900",2019,Automatic,44.1 mpg,Tax: £180,"Mileage: 25,860",Petrol,black,1.0 EcoBoost 125 ST-Line SATN
1470,Ford, Fiesta,"£14,750",2021,Manual,55.4 mpg,Tax: £170,"Mileage: 9,518",Petrol,black,a 1.0 EcoBoost Hybrid mHEV 125 Vignale Edition 5dr
1471,Ford, Puma,"£23,299",2022,Semi-Auto,49.6 mpg,Tax: £170,"Mileage: 5,409",Petrol,black,a 1.0 EcoBoost Hybrid mHEV ST-Line X 5dr DCT
1472,Ford, Puma,"£20,000",2022,Manual,50.4 mpg,Tax: £170,"Mileage: 5,429",Petrol,black,a 1.0 EcoBoost Hybrid mHEV ST-Line X 5dr
1557,Ford, Fiesta,"£17,499",2022,Manual,48.7 mpg,Tax: £180,"Mileage: 6,124",Petrol,black,a 1.0 EcoBoost ST-Line X 5dr
1558,Ford, Puma,"£23,799",2022,Manual,41.5 mpg,Tax: £180,"Mileage: 6,242",Petrol,black,a 1.5 EcoBoost ST 5dr
1559,Ford, EcoSport,"£15,799",2021,Manual,47.1 mpg,Tax: £180,"Mileage: 7,999",Petrol,black,1.0 EcoBoost 125 ST-Line 5dr
1560,Ford, Puma,"£17,699",2021,Manual,52.3 mpg,Tax: £170,"Mileage: 10,732",Petrol,black,a 1.0 EcoBoost Hybrid mHEV ST-Line Design 5dr
1561,Ford, EcoSport,"£16,000",2019,Semi-Auto,44.1 mpg,Tax: £180,"Mileage: 13,860",Petrol,black,1.0 EcoBoost 125 ST-Line 5dr Auto
1562,Ford, Fiesta,"£14,000",2020,Manual,56.5 mpg,Tax: £170,"Mileage: 14,030",Petrol,black,a 1.0 EcoBoost Hybrid mHEV 125 Titanium X 5dr
1563,Ford, Fiesta,"£16,000",2022,Manual,56.5 mpg,Tax: £170,"Mileage: 15,248",Petrol,black,a 1.0 EcoBoost Hybrid mHEV 125 Titanium 5dr
1564,Ford, Fiesta,"£14,499",2021,Manual,54.3 mpg,Tax: £170,"Mileage: 19,357",Petrol,black,a 1.0 EcoBoost Hybrid mHEV 155 ST-Line Edition 5dr
1565,Ford, Kuga,"£19,299",2020,Manual,54.3 mpg,Tax: £170,"Mileage: 20,583",Diesel,black,a 2.0 EcoBlue mHEV Titanium 5dr
1566,Ford, Fiesta,"£9,499",2017,Manual,54.3 mpg,Tax: £180,"Mileage: 21,175",Petrol,black,a 1.25 82 Zetec 3dr
